"Customer ID","Recency","Frequency","Monetary","AvgOrderValue","AvgQuantity","TotalQuantity","OutlierOrders","Country","Churn","HighValue","Segment","CountryGroup"
"12379",79.8458333333333,3,1227.82,409.273333333333,10.1475409836066,619,1,"Belgium",0,0,3,"Belgium"
"12380",95.1256944444444,8,7559.04,944.88,12.0622009569378,2521,13,"Belgium",0,1,3,"Belgium"
"12381",29.1201388888889,1,1268.74,1268.74,9.16129032258065,568,1,"Norway",0,0,3,"Other"
"12383",94.2,5,1850.56,370.112,15.4747474747475,1532,7,"Belgium",1,0,3,"Belgium"
"12384",31.0604166666667,1,292.69,292.69,4.42857142857143,62,0,"Switzerland",0,0,3,"Other"
"12385",288.9,1,1938.4,1938.4,9.41538461538462,612,1,"Belgium",1,0,1,"Belgium"
"12386",247.009027777778,2,401.9,200.95,35.4,354,3,"Australia",1,0,1,"Other"
"12387",324.849305555556,1,143.94,143.94,14.8888888888889,134,0,"Australia",1,0,1,"Other"
"12388",57.9736111111111,6,2788.79,464.798333333333,11.198275862069,1299,1,"Australia",0,1,3,"Other"
"12389",312.040277777778,3,1433.33,477.776666666667,12.530612244898,614,1,"Australia",1,0,1,"Other"
"12391",374.008333333333,5,2285.18,457.036,5.23563218390805,911,1,"Cyprus",0,0,1,"Other"
"12392",500.948611111111,1,234.75,234.75,10.4285714285714,73,0,"Australia",1,0,1,"Other"
"12393",155.128472222222,5,1877.95,375.59,12.4024390243902,1017,7,"Australia",0,0,3,"Other"
"12394",126.950694444444,1,381.08,381.08,8.66666666666667,182,0,"Belgium",0,0,3,"Belgium"
"12395",21.8972222222222,11,3602.11,327.464545454545,14.9230769230769,2716,14,"Belgium",0,1,3,"Belgium"
"12396",583.977777777778,1,931.43,931.43,9.09230769230769,591,0,"RSA",1,0,1,"Other"
"12397",44.9368055555556,1,1214.81,1214.81,10.0571428571429,704,2,"Belgium",0,0,3,"Belgium"
"12399",28.9826388888889,7,1962.3,280.328571428571,19.9818181818182,2198,19,"Belgium",1,0,3,"Belgium"
"12400",323.961805555556,1,205.25,205.25,8.27272727272727,91,0,"Australia",1,0,1,"Other"
"12401",212.958333333333,1,84.3,84.3,2.2,11,0,"Belgium",1,0,3,"Belgium"
"12402",232.959027777778,6,1256.9,209.483333333333,8.34285714285714,584,0,"Belgium",1,0,3,"Belgium"
"12403",431.049305555556,1,591.66,591.66,41,164,2,"Denmark",0,0,1,"Other"
"12404",591.850694444444,1,63.24,63.24,1,1,0,"Finland",1,0,1,"Other"
"12405",58.1652777777778,1,1710.39,1710.39,15.8703703703704,857,7,"Finland",1,0,3,"Other"
"12406",93.1020833333333,4,4596.31,1149.0775,21.7363636363636,2391,15,"Denmark",0,1,3,"Other"
"12407",43.8486111111111,4,1407.36,351.84,19.328125,1237,5,"Belgium",0,0,3,"Belgium"
"12408",8.09930555555556,7,3586.27,512.324285714286,13.7058823529412,1864,10,"Belgium",0,1,3,"Belgium"
"12409",92.0215277777778,5,18553.7,3710.74,49.013698630137,10734,135,"Switzerland",0,1,3,"Other"
"12410",218.090972222222,3,1013.71,337.903333333333,8.525,341,0,"Switzerland",1,0,3,"Other"
"12411",319.142361111111,1,346.9,346.9,6.27272727272727,138,0,"Australia",1,0,1,"Other"
"12412",47.0645833333333,5,2260.79,452.158,15.9189189189189,1767,9,"Denmark",0,0,3,"Other"
"12413",145.886805555556,3,805.25,268.416666666667,5.80487804878049,238,0,"France",0,0,3,"France"
"12414",126.915972222222,6,952.41,158.735,17.6785714285714,495,5,"Austria",1,0,3,"Other"
"12415",8.95763888888889,22,121631.72,5528.71454545455,99.4753694581281,80774,580,"Australia",0,1,2,"Other"
"12416",566.104861111111,1,202.56,202.56,12,132,0,"Australia",1,0,1,"Other"
"12417",16.1,18,5964.83,331.379444444444,7.88,2561,7,"Belgium",0,1,3,"Belgium"
"12418",22.0708333333333,4,2021.2,505.3,10.6666666666667,1088,2,"Switzerland",1,0,3,"Other"
"12419",295.115277777778,2,503.01,251.505,9.24,231,0,"Spain",1,0,1,"Spain"
"12421",24.0791666666667,5,920.12,184.024,10.2678571428571,575,1,"Spain",0,0,3,"Spain"
"12422",5.12638888888889,17,5231.8,307.752941176471,15.093023255814,2596,12,"Switzerland",1,1,3,"Other"
"12423",10.1631944444444,9,2413.75,268.194444444444,10.7432432432432,1590,1,"Belgium",0,0,3,"Belgium"
"12424",72.0305555555556,4,3340.03,835.0075,22.0108695652174,2025,19,"Australia",1,1,3,"Other"
"12425",357.944444444444,1,964.21,964.21,11.8363636363636,651,2,"Portugal",0,0,1,"Other"
"12426",104.016666666667,2,1345.21,672.605,7.58441558441558,584,0,"Germany",1,0,3,"Germany"
"12427",281.0875,1,303.5,303.5,7.9,79,0,"Germany",0,0,1,"Germany"
"12428",29.9944444444444,8,7548.12,943.515,12.1362007168459,3386,10,"Finland",0,1,3,"Other"
"12429",82.025,7,5298.89,756.984285714286,18.8730158730159,2378,18,"Denmark",0,1,3,"Other"
"12431",28.9381944444444,23,8819.34,383.449565217391,11.1823529411765,3802,11,"Australia",0,1,2,"Other"
"12432",79.9847222222222,3,4016.66,1338.88666666667,18.7763157894737,1427,18,"Norway",0,1,3,"Other"
"12433",0.9625,6,9813.5,1635.58333333333,21.5095367847411,7894,58,"Norway",0,1,3,"Other"
"12434",169.989583333333,2,583.54,291.77,5.97222222222222,215,0,"Australia",0,0,3,"Other"
"12435",177.215277777778,5,10075.03,2015.006,39.8105263157895,3782,40,"Denmark",0,1,3,"Other"
"12436",9.02847222222222,1,509.01,509.01,13.1875,211,0,"Norway",1,0,3,"Other"
"12437",7.98263888888889,32,10543.4,329.48125,14.7532188841202,6875,36,"France",0,1,2,"France"
"12438",49.9729166666667,1,890.07,890.07,11.9591836734694,586,4,"Norway",0,0,3,"Other"
"12439",592.027083333333,2,1142.88,571.44,6.73239436619718,478,0,"Cyprus",1,0,1,"Other"
"12440",371.985416666667,2,859.2,429.6,10.34375,331,0,"Austria",1,0,1,"Other"
"12441",276.086805555556,1,173.55,173.55,11,121,0,"France",1,0,1,"France"
"12443",641.880555555556,1,485.31,485.31,8.66666666666667,182,0,"Norway",1,0,1,"Other"
"12444",31.1729166666667,2,2627.27,1313.635,6.19047619047619,650,0,"Norway",0,1,3,"Other"
"12445",330.015277777778,1,301.58,301.58,7.2,144,0,"Spain",0,0,1,"Spain"
"12447",152.975694444444,1,476.49,476.49,7.30769230769231,190,0,"Belgium",1,0,3,"Belgium"
"12449",1.15069444444444,5,3493.18,698.636,12.3802816901408,1758,9,"Belgium",0,1,3,"Belgium"
"12450",65.9229166666667,5,688.2,137.64,11.9459459459459,442,1,"Spain",1,0,3,"Spain"
"12451",127.802777777778,5,8942.18,1788.436,19.5710227272727,6889,57,"Switzerland",0,1,3,"Other"
"12453",43.9458333333333,1,707.09,707.09,11,473,0,"Austria",1,0,3,"Other"
"12454",305.111805555556,4,13151.44,3287.86,267.88,6697,24,"Spain",0,1,1,"Spain"
"12455",37.0715277777778,9,5589.45,621.05,14.3221153846154,2979,23,"Cyprus",0,1,3,"Other"
"12456",40.8923611111111,2,2265.4,1132.7,12.4767441860465,1073,5,"Switzerland",0,0,3,"Other"
"12457",143.111111111111,4,1699.93,424.9825,13.7872340425532,648,3,"Switzerland",0,0,3,"Other"
"12458",194.079861111111,3,1272.01,424.003333333333,11.5384615384615,750,2,"Switzerland",0,0,3,"Other"
"12459",514.914583333333,1,454.36,454.36,11.2173913043478,258,1,"Spain",1,0,1,"Spain"
"12460",365.957638888889,1,326.65,326.65,9.44444444444444,170,0,"Belgium",1,0,1,"Belgium"
"12461",3.82847222222222,2,826.88,413.44,8.2,287,0,"Switzerland",1,0,3,"Other"
"12462",212.920833333333,1,762.11,762.11,7.175,287,0,"Spain",0,0,3,"Spain"
"12463",84.9319444444444,3,985.79,328.596666666667,9.45901639344262,577,0,"Belgium",0,0,3,"Belgium"
"12464",15.9701388888889,6,780.55,130.091666666667,3.85714285714286,81,0,"Belgium",0,0,3,"Belgium"
"12465",78.9673611111111,1,440.94,440.94,11.3076923076923,294,1,"Belgium",0,0,3,"Belgium"
"12466",591.85,1,56.73,56.73,1,1,0,"France",1,0,1,"France"
"12467",332.88125,1,132.8,132.8,14.3333333333333,129,0,"USA",1,0,1,"Other"
"12468",97.0513888888889,5,3670.74,734.148,14.6733333333333,2201,15,"Germany",1,1,3,"Germany"
"12469",432.006944444444,2,3070.54,1535.27,33.5789473684211,2552,10,"Thailand",1,1,1,"Other"
"12470",599.075694444444,1,211.95,211.95,4.1304347826087,95,0,"Unspecified",1,0,1,"Other"
"12471",16.8590277777778,68,31210.54,458.978529411765,13.8571428571429,12998,67,"Germany",0,1,2,"Germany"
"12472",48.0381944444444,17,14604.78,859.104705882353,12.4074567243675,9318,23,"Germany",0,1,2,"Germany"
"12473",24.0319444444444,2,1175.75,587.875,13.328125,853,5,"Germany",0,0,3,"Germany"
"12474",8.08125,26,9410.72,361.950769230769,11.078799249531,5905,10,"Germany",0,1,2,"Germany"
"12475",319.167361111111,1,426.26,426.26,9.44,236,0,"Germany",0,0,1,"Germany"
"12476",50.7993055555556,18,10459.16,581.064444444444,10.9422110552764,4355,13,"Germany",0,1,2,"Germany"
"12477",10.1520833333333,6,15890.66,2648.44333333333,10.7645788336933,4984,25,"Germany",0,1,3,"Germany"
"12480",52.9486111111111,6,4328.17,721.361666666667,11.5891089108911,2341,6,"Germany",0,1,3,"Germany"
"12481",89.0819444444444,13,10690.95,822.380769230769,19.421875,6215,45,"Germany",0,1,3,"Germany"
"12482",485.832638888889,29,23691.4,816.944827586207,132.558823529412,27042,183,"Sweden",1,1,2,"Other"
"12483",8.04722222222222,17,4236.26,249.191764705882,15.8793103448276,1842,14,"Sweden",0,1,3,"Other"
"12484",10.1291666666667,10,5485.43,548.543,7.19607843137255,2936,8,"Spain",0,1,3,"Spain"
"12485",438.894444444444,1,708.1,708.1,12.1764705882353,414,1,"Sweden",1,0,1,"Other"
"12486",341.025,1,1037.28,1037.28,10.6734693877551,523,3,"Sweden",1,0,1,"Other"
"12487",640.051388888889,1,285.3,285.3,87,174,2,"Sweden",1,0,1,"Other"
"12489",245.984027777778,1,334.93,334.93,7,105,0,"France",1,0,1,"France"
"12490",2.97777777777778,17,7958.3,468.135294117647,12.7015706806283,4852,11,"France",0,1,3,"France"
"12492",14.9159722222222,2,578.39,289.195,10.3548387096774,321,0,"Germany",0,0,3,"Germany"
"12493",75.10625,2,433.74,216.87,9.40909090909091,207,1,"France",1,0,3,"France"
"12494",71.0229166666667,7,1438.03,205.432857142857,7.75609756097561,636,1,"France",0,0,3,"France"
"12495",550.08125,1,357.4,357.4,7.64705882352941,130,0,"Sweden",1,0,1,"Other"
"12496",529.947222222222,2,45.34,22.67,3,30,0,"Spain",1,0,1,"Spain"
"12497",310.013194444444,2,5205.4,2602.7,103.46511627907,4449,42,"Germany",0,1,1,"Germany"
"12499",469.901388888889,1,393.72,393.72,11.1851851851852,302,2,"Germany",1,0,1,"Germany"
"12500",16,14,3471.23,247.945,16.8290598290598,1969,15,"Germany",0,1,3,"Germany"
"12501",246.015277777778,1,2169.39,2169.39,11.9664429530201,1783,3,"Germany",1,0,1,"Germany"
"12502",5.04027777777778,5,3723.87,744.774,5.57823129251701,820,1,"Spain",1,1,3,"Spain"
"12503",493.952083333333,1,1126,1126,280.5,561,1,"Spain",1,0,1,"Spain"
"12504",326.903472222222,2,297,148.5,33.4545454545455,368,3,"Germany",0,0,1,"Germany"
"12505",318.147222222222,1,955.2,955.2,7.71428571428571,324,0,"Italy",1,0,1,"Other"
"12506",142.163888888889,1,73.5,73.5,1,23,0,"France",1,0,3,"France"
"12507",43.8201388888889,4,1844.06,461.015,25.6326530612245,1256,7,"Spain",1,0,3,"Spain"
"12509",193.920138888889,1,176.5,176.5,7.85714285714286,55,0,"France",1,0,3,"France"
"12510",52.1076388888889,9,5178.02,575.335555555556,14.1310344827586,2049,10,"Spain",1,1,3,"Spain"
"12511",338.090972222222,1,3084.02,3084.02,9.22631578947368,1753,6,"Greece",1,1,1,"Other"
"12513",22.0826388888889,1,612.29,612.29,13.2,462,0,"France",1,0,3,"France"
"12514",176.841666666667,2,1597.76,798.88,10,840,0,"Italy",1,0,3,"Other"
"12515",262.879861111111,1,383.7,383.7,8.1875,131,0,"Italy",1,0,1,"Other"
"12516",90.0506944444444,3,1919.76,639.92,23.3114754098361,1422,18,"Germany",0,0,3,"Germany"
"12517",35.9083333333333,2,1521.45,760.725,4.58241758241758,834,0,"Germany",0,0,3,"Germany"
"12518",19.9805555555556,1,324.83,324.83,10.3888888888889,187,0,"Germany",0,0,3,"Germany"
"12519",386.186805555556,1,385.7,385.7,9.63636363636364,212,1,"Germany",0,0,1,"Germany"
"12520",51.925,4,2045.85,511.4625,9.08264462809917,1099,0,"Germany",0,0,3,"Germany"
"12521",52.0826388888889,1,599.68,599.68,8.13157894736842,309,0,"Germany",1,0,3,"Germany"
"12523",17.1090277777778,19,3580.33,188.438421052632,9.50485436893204,1958,4,"France",0,1,3,"France"
"12524",71.8888888888889,15,9762.87,650.858,27.2122641509434,5769,68,"Germany",0,1,3,"Germany"
"12525",407.8625,3,973.73,324.576666666667,8.48333333333333,509,0,"France",1,0,1,"France"
"12526",3.93819444444444,1,520.3,520.3,10.9655172413793,318,0,"Germany",0,0,3,"Germany"
"12527",204.13125,4,671.72,167.93,17.6896551724138,513,2,"Germany",0,0,3,"Germany"
"12528",24.0138888888889,4,1287.37,321.8425,7.73846153846154,503,0,"Germany",0,0,3,"Germany"
"12529",437.986111111111,1,316.48,316.48,9.14285714285714,192,0,"France",1,0,1,"France"
"12530",33.0770833333333,8,3318.63,414.82875,17.3913043478261,2400,19,"Germany",0,1,3,"Germany"
"12531",595.939583333333,1,1807.98,1807.98,9.76363636363636,1074,0,"Germany",0,0,1,"Germany"
"12533",537.079166666667,2,1367.89,683.945,9.77777777777778,704,0,"Germany",1,0,1,"Germany"
"12534",40.1,1,1089.18,1089.18,10.3333333333333,651,0,"Germany",1,0,3,"Germany"
"12535",1.16805555555556,2,716.35,358.175,6.44117647058824,219,0,"France",1,0,3,"France"
"12537",318.176388888889,1,732.94,732.94,10.4418604651163,449,0,"Sweden",1,0,1,"Other"
"12538",287.991666666667,1,276.5,276.5,11.1538461538462,145,1,"Spain",0,0,1,"Spain"
"12539",171.868055555556,6,10164.09,1694.015,8.86984815618221,4089,2,"Spain",0,1,3,"Spain"
"12540",1.96666666666667,27,18101.11,670.411481481481,14.2785016286645,8767,29,"Spain",0,1,2,"Spain"
"12541",82.86875,2,536.14,268.07,14.9642857142857,419,1,"Spain",0,0,3,"Spain"
"12542",393.734722222222,2,481.88,240.94,13.3846153846154,522,2,"Spain",1,0,1,"Spain"
"12543",357.874305555556,1,980.25,980.25,16,688,3,"Spain",1,0,1,"Spain"
"12545",169.031944444444,1,628.15,628.15,10.1764705882353,346,0,"Spain",0,0,3,"Spain"
"12547",107.008333333333,3,383.58,127.86,14.7142857142857,309,0,"Spain",1,0,3,"Spain"
"12548",75.8854166666667,1,95.2,95.2,9.8,49,0,"Spain",1,0,3,"Spain"
"12549",485.03125,6,1575.68,262.613333333333,27.8775510204082,1366,9,"USA",1,0,1,"Other"
"12551",267.060416666667,1,168,168,10,100,0,"Spain",1,0,1,"Spain"
"12553",19.9222222222222,9,3336.06,370.673333333333,9.4010989010989,1711,5,"France",0,1,3,"France"
"12554",358.014583333333,1,468.5,468.5,9.23076923076923,240,0,"Spain",1,0,1,"Spain"
"12555",591.85,1,129.23,129.23,1,1,0,"Spain",1,0,1,"Spain"
"12556",60.96875,1,308.75,308.75,2.50769230769231,163,0,"Spain",0,0,3,"Spain"
"12557",67.9798611111111,7,15106.14,2158.02,111.469387755102,5462,49,"Spain",0,1,3,"Spain"
"12559",220.125694444444,2,561.71,280.855,13.4761904761905,283,2,"Germany",1,0,3,"Germany"
"12560",21.8944444444444,2,1436.31,718.155,10.6493506493506,820,1,"Germany",0,0,3,"Germany"
"12561",212.049305555556,1,238.85,238.85,11.0625,177,0,"Germany",1,0,3,"Germany"
"12562",36.1736111111111,5,2790.41,558.082,11.3162393162393,1324,3,"France",0,1,3,"France"
"12563",318.123611111111,1,249.24,249.24,8.69230769230769,113,0,"Italy",1,0,1,"Other"
"12564",170.913194444444,1,456.9,456.9,6.33333333333333,133,0,"France",1,0,3,"France"
"12565",198.094444444444,1,145.92,145.92,8.88888888888889,80,0,"Saudi Arabia",1,0,3,"Other"
"12567",5.93611111111111,14,10216.18,729.727142857143,9.54947368421053,4536,8,"France",0,1,3,"France"
"12568",554.149305555556,1,70,70,9.6,48,0,"Germany",1,0,1,"Germany"
"12569",1.89444444444444,15,2167.68,144.512,9.31521739130435,857,2,"Germany",0,0,3,"Germany"
"12570",591.806944444444,1,77.52,77.52,1,1,0,"Spain",1,0,1,"Spain"
"12571",31.0104166666667,1,248.35,248.35,14.0714285714286,197,0,"France",0,0,3,"France"
"12573",136.873611111111,5,717.41,143.482,4.02521008403361,479,2,"France",1,0,3,"France"
"12574",225.145833333333,1,218.45,218.45,5.54545454545455,61,0,"France",1,0,3,"France"
"12575",366.986805555556,2,622.82,311.41,8.28947368421053,315,1,"France",1,0,1,"France"
"12576",5.11388888888889,7,1763.44,251.92,10.2758620689655,1192,1,"Poland",0,0,3,"Other"
"12577",268.853472222222,6,1186.39,197.731666666667,3.90867579908676,856,3,"France",0,0,1,"France"
"12578",239.886111111111,3,3456.6,1152.2,15.09375,1932,6,"Italy",0,1,1,"Other"
"12580",156.101388888889,2,1052.9,526.45,9.81034482758621,569,1,"Germany",1,0,3,"Germany"
"12582",148.170138888889,4,1980.4,495.1,9.56310679611651,985,4,"Finland",1,0,3,"Other"
"12583",16.0166666666667,21,10542.41,502.019523809524,20.1101449275362,6938,36,"France",0,1,2,"France"
"12584",36.8215277777778,4,782.59,195.6475,4.05882352941176,138,0,"Italy",0,0,3,"Other"
"12585",143.965972222222,2,2040.1,1020.05,14.7011494252874,1279,3,"Germany",1,0,3,"Germany"
"12586",284.085416666667,3,1865.73,621.91,7.32530120481928,608,0,"Italy",0,0,1,"Other"
"12588",308.997916666667,3,743.88,247.96,10.6944444444444,385,0,"Finland",0,0,1,"Other"
"12589",54.03125,7,4180.48,597.211428571429,9.94193548387097,1541,0,"France",0,1,3,"France"
"12590",120.915277777778,2,9864.26,4932.13,62.9852941176471,4283,53,"Germany",1,1,3,"Germany"
"12591",226.927083333333,3,1338.95,446.316666666667,9.60294117647059,653,0,"Italy",1,0,3,"Other"
"12592",1.90694444444444,5,2582.66,516.532,23.1481481481481,1875,22,"Germany",1,0,3,"Germany"
"12593",18.0048611111111,3,418.1,139.366666666667,9.80952380952381,206,0,"France",1,0,3,"France"
"12594",30.9333333333333,13,4281.79,329.368461538462,13.9712643678161,2431,11,"Italy",0,1,3,"Other"
"12595",414.152777777778,1,299.02,299.02,14.2631578947368,271,3,"Germany",1,0,1,"Germany"
"12596",151.977777777778,1,269.95,269.95,10.4,156,0,"Spain",0,0,3,"Spain"
"12597",92.8652777777778,2,1428.81,714.405,8.65384615384615,675,2,"Spain",0,0,3,"Spain"
"12598",71.0465277777778,7,3095.39,442.198571428571,13.963503649635,1913,14,"France",0,1,3,"France"
"12599",36.0083333333333,12,2121.18,176.765,16.655462184874,1982,10,"France",0,0,3,"France"
"12600",22.0604166666667,19,4304.94,226.575789473684,10.0260869565217,1153,3,"Germany",0,1,3,"Germany"
"12601",99.10625,6,681.26,113.543333333333,8.52941176470588,290,1,"Germany",1,0,3,"Germany"
"12604",171.030555555556,1,178.5,178.5,13.7,137,0,"France",0,0,3,"France"
"12605",285.938888888889,4,1232.95,308.2375,12.2236842105263,929,0,"Germany",1,0,1,"Germany"
"12606",591.852083333333,1,21,21,1,1,0,"Spain",1,0,1,"Spain"
"12608",314.084027777778,1,415.79,415.79,20.1875,323,4,"United Kingdom",1,0,1,"United Kingdom"
"12609",95.8881944444445,8,3109.74,388.7175,9.00632911392405,1423,2,"Germany",0,1,3,"Germany"
"12610",15.9951388888889,2,1256.25,628.125,8.68055555555556,625,0,"Italy",0,0,3,"Other"
"12613",107.147222222222,9,4935.51,548.39,13.246963562753,3272,9,"Germany",0,1,3,"Germany"
"12614",187.102777777778,1,315.6,315.6,3.8,76,0,"Germany",1,0,3,"Germany"
"12615",77.96875,5,4084.53,816.906,12.0102040816327,2354,7,"France",0,1,3,"France"
"12616",4.89791666666667,3,1131.1,377.033333333333,9.22222222222222,498,0,"France",1,0,3,"France"
"12619",25.9777777777778,6,2227.6,371.266666666667,38.6938775510204,1896,15,"Germany",0,0,3,"Germany"
"12620",114.027777777778,1,561.66,561.66,13.1515151515152,434,3,"France",0,0,3,"France"
"12621",9.88888888888889,30,20816.57,693.885666666667,18.4330708661417,11705,75,"Germany",0,1,2,"Germany"
"12622",141.840972222222,1,180.1,180.1,6.27272727272727,69,0,"Germany",1,0,3,"Germany"
"12623",185.958333333333,7,3747.84,535.405714285714,11.393063583815,1971,5,"Germany",1,1,3,"Germany"
"12624",15.9069444444444,2,641.13,320.565,9.3421052631579,355,0,"France",1,0,3,"France"
"12625",121.122222222222,4,5164.88,1291.22,18.0819672131148,3309,12,"Germany",1,1,3,"Germany"
"12626",22.0444444444444,6,4774,795.666666666667,11.3446601941748,2337,7,"Germany",0,1,3,"Germany"
"12627",5.94513888888889,5,2727.83,545.566,11.1702127659574,1575,6,"Germany",0,1,3,"Germany"
"12629",295.147222222222,2,1558.22,779.11,16.0444444444444,722,2,"Sweden",1,0,1,"Other"
"12631",365.916666666667,5,2841.07,568.214,9.01973684210526,1371,0,"Finland",0,1,1,"Other"
"12632",430.132638888889,2,804.88,402.44,19.8285714285714,694,3,"Germany",1,0,1,"Germany"
"12633",39.1354166666667,6,5462.93,910.488333333333,10.8041237113402,3144,11,"Germany",0,1,3,"Germany"
"12634",445.114583333333,2,490,245,16.85,337,0,"USA",1,0,1,"Other"
"12635",64.1715277777778,3,1924.87,641.623333333333,9.96610169491525,1176,1,"Germany",0,0,3,"Germany"
"12636",648.121527777778,1,141,141,1,1,0,"USA",1,0,1,"Other"
"12637",1.04305555555556,11,7939.81,721.800909090909,7.55985267034991,4105,7,"France",0,1,3,"France"
"12638",549.097222222222,1,249.8,249.8,9.55555555555556,86,0,"Sweden",0,0,1,"Other"
"12639",148.001388888889,3,1312.37,437.456666666667,9.859375,631,1,"Sweden",1,0,3,"Other"
"12641",24.975,1,185.9,185.9,7.2,72,0,"Sweden",1,0,3,"Other"
"12642",17.14375,1,366.45,366.45,11.5416666666667,277,0,"Germany",0,0,3,"Germany"
"12643",37.9958333333333,12,8304.82,692.068333333333,91.4705882352941,4665,40,"France",1,1,3,"France"
"12644",39.0951388888889,4,1918.49,479.6225,9.2972972972973,1032,1,"Germany",1,0,3,"Germany"
"12645",19.0069444444444,7,3074.98,439.282857142857,12.7808219178082,1866,3,"Germany",0,1,3,"Germany"
"12647",35.9590277777778,33,16119.44,488.467878787879,12.8415637860082,6241,27,"Germany",0,1,2,"Germany"
"12648",64.0381944444444,4,1112,278,7.96923076923077,518,1,"Germany",1,0,3,"Germany"
"12649",16.9229166666667,8,2294.65,286.83125,16.6016949152542,1959,12,"Germany",1,0,3,"Germany"
"12651",244.002777777778,4,377.75,94.4375,8.83333333333333,265,0,"France",1,0,1,"France"
"12652",240.909722222222,2,1017.03,508.515,10.5098039215686,536,0,"France",1,0,1,"France"
"12653",58.0895833333333,3,4160.83,1386.94333333333,19.546511627907,1681,14,"Israel",1,1,3,"Other"
"12654",107.088194444444,3,337.75,112.583333333333,6.86363636363636,151,0,"Germany",0,0,3,"Germany"
"12655",333.147916666667,1,261.35,261.35,5,80,0,"France",1,0,1,"France"
"12656",25.9979166666667,6,5177.33,862.888333333333,12.7210526315789,2417,15,"France",0,1,3,"France"
"12661",345.836111111111,1,162,162,19.6363636363636,216,0,"Sweden",1,0,1,"Other"
"12662",16.9638888888889,16,5530.42,345.65125,8.69811320754717,2766,0,"Germany",0,1,3,"Germany"
"12663",534.131944444444,2,239.4,119.7,18.1,181,2,"Germany",1,0,1,"Germany"
"12664",53.0048611111111,5,3145.64,629.128,30.6538461538462,797,13,"Finland",0,1,3,"Other"
"12665",234.177777777778,3,313.6,104.533333333333,9.70588235294118,165,0,"Germany",1,0,3,"Germany"
